User,Uploaded Count,Uploaded Duration (hh:mm:ss),Views,Likes,Comments,Shares,Avg. Retention (%),Total Watch Time (hrs)
Chandan,489,100:43:58,561372,25578,1848,13678,27.25,37834
QA-Purushottam,309,33:08:48,812361,22618,6960,17138,59.93,136046
vikas.s@moolya.com,265,61:22:20,811960,59432,1092,14824,64.98,205150
Sandeep Belaki,253,39:59:44,268939,12636,2451,1626,31.74,38794
Nitesh,224,59:57:41,142464,4512,734,4161,47.82,22973
Abhishek,201,19:25:46,868923,36551,5852,21695,66.24,147698
Auto Upload,185,41:52:06,699115,31353,4847,8613,60.3,111735
Subhesh,184,21:36:47,788808,54942,7143,23269,49.82,148645
Trivendra,179,61:09:11,684496,43819,4606,13722,52.47,36377
Dheeraj Pareek(QA theveritycorp.com),166,16:07:52,106572,7050,695,2084,47.96,17778
vinay singh,161,33:30:02,152145,3143,243,3606,36.37,13402
Neha,158,20:11:39,585074,26310,3314,14799,51.08,124825
Subhash (moolya),154,14:29:47,482944,23606,1135,10340,57.89,38356
Adarsh (Frammer),141,17:37:54,365754,7736,2793,3000,68.03,83425
Anamika Singh,121,30:51:09,554785,19744,3112,7465,55.0,89217
AB,101,27:58:37,284719,18682,2027,8029,61.86,62865
Divyanshu Dutta Roy,95,32:58:37,188480,5320,259,2000,28.8,6836
Ashween,95,11:25:35,402610,20983,709,5759,45.39,60670
Vaibhav,94,26:54:03,418206,13764,3114,6608,20.51,27841
Alok Rai,86,05:07:43,283886,5884,468,4537,33.57,30902
sukhleen,84,13:30:24,236040,8136,387,4797,59.96,48317
Shadab,83,19:24:55,170399,13385,188,4869,74.55,47076
Abhishek Sri,81,23:19:35,391797,26678,3764,4316,25.45,42078
QA-Bhargavi,75,08:42:26,296250,22981,2262,2381,42.08,25920
Deepika Uniyal (QA testaing.com),72,15:22:37,56808,2799,237,564,64.0,15634
Prithviraj,66,05:22:50,135300,3596,496,3676,31.22,12642
Rakesh (devops@frammer.com),45,08:14:13,25020,1322,103,529,50.53,1653
Harish,41,04:01:19,91430,4321,728,1110,60.32,6806
QA-Ankith ,40,03:48:12,163040,11520,1133,4140,53.88,20529
Ravi Pratap Rai,39,05:27:58,169416,4385,451,4495,30.34,21277
QA-Aniket,37,07:55:13,47323,2332,121,1238,39.55,7169
Kallol Pratim,34,03:02:53,149090,4324,281,4170,63.11,39089
Ritwik,24,00:46:21,87960,3472,610,994,50.48,13627
Richa,18,02:28:16,17676,1135,139,422,20.29,990
deleteme@frammer.com,16,03:01:14,7984,387,27,131,61.85,785
Kawaljit Singh Bedi,8,01:42:04,5664,241,6,147,21.94,287
Safdar,8,01:55:34,13904,607,24,322,61.02,2321
Arun J,5,00:40:48,11240,534,109,274,31.14,474
QA-Amit,5,00:17:39,7410,497,27,158,72.69,1013
Test User,4,00:08:06,6012,442,47,56,40.24,820
Arijit Chatterjee,2,00:24:48,1838,142,12,34,37.98,275
swathi.bharadwaj@moolya.com,2,01:30:30,6784,455,30,200,28.19,954
parakh,2,00:01:40,1838,71,5,52,36.81,320
Dheerendra Kumar,1,00:01:12,519,31,1,3,68.22,126
Sumit (Frammer),0,00:00:00,37,1,0,0,74.8,7
